10 0.2 0.25 -3 0.458727 50 50
10 0.2 0.25 -2.6 0.344366 50 50
10 0.2 0.25 -2.2 0.246389 50 50
10 0.2 0.25 -1.8 0.164848 50 50
10 0.2 0.25 -1.4 0.099644 50 50
10 0.2 0.25 -1 0.0508025 50 50
10 0.2 0.25 -0.6 0.0182762 50 50
10 0.2 0.25 -0.2 0.00202773 50 50
10 0.2 0.25 0.2 0.0020259 50 50
10 0.2 0.25 0.6 0.0182279 50 50
10 0.2 0.25 1 0.050581 50 50
10 0.2 0.25 1.4 0.0990361 50 50
10 0.2 0.25 1.8 0.163557 50 50
10 0.2 0.25 2.2 0.244033 50 50
10 0.2 0.25 2.6 0.340476 50 50
10 0.2 0.25 3 0.452757 50 50
