10 0.2 0.25 -3 0.206379 70 70
10 0.2 0.25 -2.6 0.154955 70 70
10 0.2 0.25 -2.2 0.11089 70 70
10 0.2 0.25 -1.8 0.0742074 70 70
10 0.2 0.25 -1.4 0.0448654 70 70
10 0.2 0.25 -1 0.0228788 70 70
10 0.2 0.25 -0.6 0.00823212 70 70
10 0.2 0.25 -0.2 0.00091356 70 70
10 0.2 0.25 0.2 0.000912952 70 70
10 0.2 0.25 0.6 0.00821636 70 70
10 0.2 0.25 1 0.0228068 70 70
10 0.2 0.25 1.4 0.044668 70 70
10 0.2 0.25 1.8 0.0737883 70 70
10 0.2 0.25 2.2 0.110126 70 70
10 0.2 0.25 2.6 0.153692 70 70
10 0.2 0.25 3 0.204441 70 70
