19.9745 19.9745 0.001
23.9737 3.99927 1.02
39.9855 16.0118 2.6
52.5446 12.5591 2.9
317.39 264.846 3.3685
567.765 250.374 3.4981
632.204 64.4395 3.7701
763.208 131.004 3.8562
958.079 194.871 3.9711
1044.08 86.0037 4.407
1335.48 291.401 4.4822
1654.71 319.223 4.5964
2009.54 354.834 4.7107
2413.15 403.606 4.825
2892.79 479.641 4.9394
3273.82 381.029 5.0539
3525.6 251.781 5.20552
3559.54 33.937 5.32345
6074.35 2514.81 5.1684
6707.16 632.809 5.0539
7186.8 479.641 4.9394
7590.41 403.606 4.825
7945.24 354.834 4.7107
8264.46 319.223 4.5964
8555.86 291.401 4.4822
8641.87 86.0037 4.407
8836.74 194.871 3.9711
8967.74 131.004 3.8562
9032.18 64.4395 3.7701
9282.56 250.374 3.4981
9547.4 264.846 3.3685
9559.96 12.5591 2.9
9575.97 16.0118 2.6
