1 , 0.197626
2 , 160.608
3 , 73.6285
4 , 1.78118
5 , 47.9872
6 , 55.6985
7 , 93.0333
8 , 70.5646
9 , 50.0817
10 , 107.889
11 , 108.916
12 , 72.6278
13 , 50.0432
14 , 100.783
15 , 68.1465
16 , 44.9687
17 , 33.4892
18 , 57.1272
19 , 45.3062
20 , 32.936
21 , 26.3778
22 , 51.1698
23 , 39.0305
24 , 14.818
25 , 101.12
26 , 90.0719
27 , 85.9411
28 , 78.0832
29 , 73.6054
30 , 69.6855
31 , 58.3618
32 , 60.6368
33 , 72.1093
34 , 69.1406
35 , 9.2106
36 , 28.1363
37 , 9.3981
38 , 2.2035
39 , 26.4384
40 , 26.0137
41 , 0.089925
42 , 0.11943
43 , 0.000647792
44 , 1.26271e-09
