1 , 0.00751172
2 , 5.61158
3 , 3.48506
4 , 0.090532
5 , 2.33118
6 , 3.27653
7 , 4.88569
8 , 3.5148
9 , 2.43373
10 , 4.67511
11 , 4.47377
12 , 3.11524
13 , 2.20035
14 , 4.45289
15 , 3.09882
16 , 2.17388
17 , 1.58144
18 , 2.99148
19 , 2.26581
20 , 1.62698
21 , 1.27472
22 , 2.40552
23 , 1.7115
24 , 0.627833
25 , 4.16722
26 , 4.02062
27 , 3.73707
28 , 3.48272
29 , 3.31071
30 , 2.90717
31 , 2.72198
32 , 2.6777
33 , 2.94921
34 , 3.08415
35 , 0.365911
36 , 1.22271
37 , 0.435412
38 , 0.13735
39 , 1.15686
40 , 1.13772
41 , 0.00413778
42 , 0.00531962
43 , 2.74289e-05
44 , 5.89575e-11
