1 , 0
2 , 28.9528
3 , 53.2973
4 , 0.622108
5 , 14.7907
6 , 55.614
7 , 34.0938
8 , 15.2748
9 , 87.2005
10 , 26.6619
11 , 14.3199
12 , 95.7179
13 , 20.6453
14 , 33.5352
15 , 27.5903
16 , 12.9244
17 , 41.8346
18 , 16.781
19 , 9.43942
20 , 48.8657
21 , 11.5973
22 , 18.754
23 , 17.2171
24 , 5.42638
25 , 48.4658
26 , 47.6851
27 , 39.0143
28 , 45.6963
29 , 36.5926
30 , 32.1978
31 , 28.8294
32 , 29.184
33 , 32.9552
34 , 34.417
35 , 5.09509
36 , 14.367
37 , 6.84538
38 , 1.23615
39 , 11.0639
40 , 13.8122
41 , 0.0326057
42 , 0.0510511
43 , 0.000291042
44 , 5.69899e-10
