2.37154, 1.45, 907.379
2.37154, 2.35, 508.464
2.37154, 3.25, 323.826
2.37154, 4.15, 194.487
2.37154, 5.05, 139.074
2.37154, 5.95, 107.972
2.37154, 6.85, 81.26
2.37154, 7.75, 67.1343
2.37154, 8.65, 56.963
2.37154, 9.55, 44.169
2.40096, 1.45, 967.329
2.40096, 2.35, 544.712
2.40096, 3.25, 356.054
2.40096, 4.15, 219.377
2.40096, 5.05, 159.676
2.40096, 5.95, 125.341
2.40096, 6.85, 95.2165
2.40096, 7.75, 79.1434
2.40096, 8.65, 67.5415
2.40096, 9.55, 52.7271
2.43038, 1.45, 1012.39
2.43038, 2.35, 568.595
2.43038, 3.25, 379.151
2.43038, 4.15, 238.28
2.43038, 5.05, 175.279
2.43038, 5.95, 138.159
2.43038, 6.85, 105.161
2.43038, 7.75, 87.4062
2.43038, 8.65, 74.7986
2.43038, 9.55, 58.7174
2.45981, 1.45, 1040.31
2.45981, 2.35, 578.65
2.45981, 3.25, 391.318
2.45981, 4.15, 249.672
2.45981, 5.05, 184.5
2.45981, 5.95, 145.145
2.45981, 6.85, 110.02
2.45981, 7.75, 91.0024
2.45981, 8.65, 77.9287
2.45981, 9.55, 61.4859
2.48923, 1.45, 1049.76
2.48923, 2.35, 574.477
2.48923, 3.25, 391.735
2.48923, 4.15, 252.794
2.48923, 5.05, 186.749
2.48923, 5.95, 145.857
2.48923, 6.85, 109.554
2.48923, 7.75, 89.8429
2.48923, 8.65, 76.8903
2.48923, 9.55, 60.9841
2.51865, 1.45, 1040.38
2.51865, 2.35, 556.729
2.51865, 3.25, 380.606
2.51865, 4.15, 247.644
2.51865, 5.05, 182.176
2.51865, 5.95, 140.613
2.51865, 6.85, 104.218
2.51865, 7.75, 84.4851
2.51865, 8.65, 72.205
2.51865, 9.55, 57.5939
2.54807, 1.45, 1012.8
2.54807, 2.35, 526.966
2.54807, 3.25, 359.057
2.54807, 4.15, 234.877
2.54807, 5.05, 171.505
2.54807, 5.95, 130.283
2.54807, 6.85, 94.9212
2.54807, 7.75, 75.8479
2.54807, 8.65, 64.6796
2.54807, 9.55, 51.9022
2.57749, 1.45, 968.619
2.57749, 2.35, 487.432
2.57749, 3.25, 328.953
2.57749, 4.15, 215.66
2.57749, 5.05, 155.858
2.57749, 5.95, 116.07
2.57749, 6.85, 82.7992
2.57749, 7.75, 64.993
2.57749, 8.65, 55.2167
2.57749, 9.55, 44.5645
2.60692, 1.45, 910.165
2.60692, 2.35, 440.784
2.60692, 3.25, 292.655
2.60692, 4.15, 191.547
2.60692, 5.05, 136.611
2.60692, 5.95, 99.3517
2.60692, 6.85, 69.0771
2.60692, 7.75, 53.0177
2.60692, 8.65, 44.7507
2.60692, 9.55, 36.2834
2.63634, 1.45, 840.362
2.63634, 2.35, 389.816
2.63634, 3.25, 252.758
2.63634, 4.15, 164.351
2.63634, 5.05, 115.294
2.63634, 5.95, 81.5565
2.63634, 6.85, 54.9759
2.63634, 7.75, 40.9987
2.63634, 8.65, 34.2279
2.63634, 9.55, 27.8152
