1 0.0333082, 40, 100, 40, 100
2 0.0226085, 40, 100, 40, 200
3 0.0175551, 40, 100, 40, 300
4 0.00725472, 40, 100, 40, 400
5 0.00161283, 40, 100, 40, 500
6 0, 40, 100, 40, 600
7 0.0017463, 40, 100, 40, 700
8 0.00794021, 40, 100, 40, 800
9 0.0178674, 40, 100, 40, 900
10 0.0305488, 40, 100, 40, 1000
