1 , 0
2 , 2.28221
3 , 5.16517
4 , 0.0582308
5 , 1.37151
6 , 4.34663
7 , 3.41696
8 , 1.44831
9 , 6.95838
10 , 2.78996
11 , 1.33677
12 , 8.54058
13 , 2.08809
14 , 1.83598
15 , 3.56805
16 , 1.29466
17 , 2.68226
18 , 1.94078
19 , 0.959428
20 , 3.21591
21 , 1.25566
22 , 0.747171
23 , 3.54264
24 , 0.569298
25 , 4.01531
26 , 4.56397
27 , 3.48746
28 , 3.7283
29 , 3.00509
30 , 2.82698
31 , 2.83349
32 , 2.67581
33 , 2.78479
34 , 3.19149
35 , 0.33888
36 , 1.09739
37 , 0.400374
38 , 0.09015
39 , 1.15516
40 , 1.14434
41 , 0.00312482
42 , 0.00475096
43 , 5.92351e-05
44 , 1.07201e-10
